twitterid,twitter_username,twitter_userid,domain,name,followers_count,tweet_count
ID0367,JamesFrancoTV,9.81339E+17,jamesfrancotv.com,James Franco,519,0
ID0368,JHarden13,50811932,,James Harden,7549365,13333
ID0369,jamesmaslow,69751644,sherlockholmesonstage.com,James Maslow,2921705,14486
ID0370,MrJamesMay,92727851,,James May,3196395,12797
ID0371,jamesdrodriguez,280701704,jamesrodriguez.com.co,James Rodríguez,19043536,2901
ID0372,iamjamiefoxx,138600717,jamiefoxxmusic.com,Jamie Foxx,4641573,3298
ID0373,JanetJackson,52939106,janetjackson.com,Janet Jackson,3965144,2209
ID0374,Jason_Aldean,14791251,jasonaldean.com,Jason Aldean,3729431,18877
ID0375,jasonderulo,28076276,smarturl.it,Jason Derulo,3728046,15486
ID0376,jason_mraz,19018401,jasonmraz.com,Jason Mraz,5272347,4750
ID0377,jasonsegel,407977463,,Jason Segel,2019765,335
ID0378,Javier_Alatorre,75334313,,Javier Alatorre,3933716,9031
ID0379,Mascherano,313913938,,Javier Mascherano,8113997,1813
ID0380,Jenna_Marbles,,youtube.com,Jenna Mourey/Marbles,,
ID0381,jennettemccurdy,15460081,,Jennette McCurdy,5522971,141
ID0382,IAMJHUD,33990291,jenniferhudson.com,Jennifer Hudson,3973936,17016
ID1538,JLo,85603854,jlo.lk,Jennifer Lopez,45294203,17819
ID0384,JeremyBieber,87781747,shots.me,Jeremy Bieber,2191533,6179
ID0385,JeremyClarkson,527526077,,Jeremy Clarkson,7684272,7821
ID0386,jeremypiven,20221159,imdb.com,Jeremy Piven,2232179,5516
